RAEKE+LB (fixed),RAEKE+LB (inv_cap),KSP+AD (fixed),KSP+AD (inv_cap)
1.0,1.0,0.7070545252521282,0.7070545252521279
0.7605276349288671,0.48884235233216156,0.5975824776835584,0.5975824776835587
1.0,1.0,0.7026581067086132,0.7026581067086133
1.0,1.0,0.9499999999999997,0.9499999999999998
1.0,1.0,0.900237432335732,0.8999999999999999
1.0,1.0,0.9332382689523923,0.933238268952392
1.0,1.0,0.932639217690348,0.9326392176903481
1.0,1.0,0.7269274514857862,0.6522791425715624
1.0,1.0,0.8404898622321769,0.8404898622321768
1.0,1.0,0.5945264567943621,0.5945264567943621
1.0,1.0,0.39921291023390365,0.3992129102339038
1.0,0.995167091240307,0.30809427949663004,0.3740753260757858
0.7715210785447126,0.6963401301779529,0.7204589778303944,0.7204589778303945
0.8484361294005694,0.8484361294005694,0.4942547183960494,0.4942547183960497
1.0,1.0,0.6661816366233317,0.6233125986667225
0.9508390135195985,1.0,0.48770211462497254,0.4877021146249725
0.6074317252073141,0.540989820631236,0.6785503297572576,0.6785503297572576
1.0,1.0,0.5688671227187815,0.5688671227187817
1.0,1.0,0.9499999999999996,0.9499999999999996
1.0,1.0,0.9,0.9499999999999998
1.0,1.0,0.95,0.95
1.0,1.0,0.9500000000000003,0.95
1.0,1.0,0.790852711028696,0.8075635220864904
1.0,1.0,0.9500000000000001,0.9499999999999998
1.0,1.0,0.8939752005590703,0.8939752005590701
1.0,1.0,0.5151822738678343,0.5254169714797086
0.631590105012939,0.4322563942011748,0.2860335339788383,0.28603353397883813
0.8881007056076583,0.8494581242368987,0.5996358708318412,0.5746649346807299
0.651798315603754,0.651798315603754,0.3275370600764809,0.3275370600764812
1.0,1.0,0.7095258821772515,0.7095258821772514
0.7601721062452832,0.7318050391239894,0.461567213991945,0.4615672139919449
1.0,1.0,0.5855447998081565,0.5855447998081567
1.0,1.0,0.6996523223838662,0.6996523223838662
1.0,1.0,0.9214310662272297,0.95
1.0,1.0,0.95,0.95
1.0,1.0,0.8296385656553882,0.746222517491098
1.0,1.0,0.813605267688486,0.813605267688486
0.7712590762032957,0.542292440839041,0.6135413049989814,0.664345306952815
1.0,1.0,0.9499999999999998,0.9499999999999996
1.0,1.0,0.9499999999999997,0.9272405683985153
1.0,1.0,0.6196507674289988,0.5833168003476393
1.0,1.0,0.8388737316327117,0.8388737316327116
0.8345028996069449,0.8345028996069447,0.5650468614672001,0.5650468614672
0.8128362395291825,0.8128362395291823,0.6666666666666666,0.6666666666666666
1.0,1.0,0.4074800356781195,0.4074800356781195
1.0,1.0,0.8221405857880281,0.8074917580765852
1.0,1.0,0.676131283878132,0.6761312838781321
1.0,1.0,0.6946946031043706,0.6946946031043705
1.0,1.0,0.7245875839503183,0.7011828918897095
1.0,1.0,0.7123128983323264,0.731621643312524
