RAEKE+LB (fixed),KSP+LB (fixed)
0.752579886,0.740231078
0.803403248,0.818243711
0.734049702,0.811145768
0.71581015,0.834799321
0.752815001,0.844697786
0.79562285,0.780512401
0.837696274,0.818876301
0.756305402,0.811521705
0.823212489,0.632986377
0.618393748,0.813430067
0.836437846,0.817056688
0.803248417,0.80135725
0.750255994,0.83762898
0.732234585,0.780120602
0.826067315,0.80993501
0.810786832,0.844448848
0.698879209,0.802825583
0.844175562,0.73208496
0.814388728,0.803829517
0.825814719,0.800458882
0.746886554,0.806608682
0.61835675,0.630782597
0.858491426,0.847885008
0.843042605,0.830751536
0.862504721,0.851580565
0.618892109,0.840429484
0.823448455,0.812111758
0.808143201,0.785618447
0.533680702,0.761543556
0.797325517,0.809762575
0.69132091,0.827711375
0.836789623,0.822491717
0.899964284,0.886578011
0.838978807,0.823477705
0.648663441,0.813063788
0.837180465,0.830893589
0.85840171,0.885489963
0.874581236,0.863525415
